text,intent,time,food_item,location
"Hi, Order food for me right now",order,9 PM,pasta,main road
"Hi, Hi quickly",greeting,6 PM,sandwich,near mall
"Hello, Table for 4 at 8 PM right now",reservation,8 PM,pasta,downtown
Hi please,greeting,7 PM,burger,main road
"Hey, What are your timings?",query,9 PM,pizza,downtown
"Hi, I want chicken biryani right now",order,7 PM,sandwich,near mall
"Hello, This is disappointing right now",complaint,6 PM,sandwich,near mall
"Hi, I want to order pizza quickly",order,6 PM,biryani,downtown
"Hey, I want to cancel reservation",cancel,10 PM,biryani,downtown
"Hey, Cancel my booking right now",cancel,8 PM,biryani,downtown
Order food for me quickly,order,6 PM,sandwich,city center
"Hi, Book a table for 2 quickly",reservation,7 PM,burger,main road
"Hi, Hello quickly",greeting,7 PM,sandwich,downtown
What are your timings? please,query,8 PM,pizza,near mall
Reserve a table tonight,reservation,7 PM,biryani,downtown
I want chicken biryani quickly,order,6 PM,pizza,near mall
"Hi, Order food for me quickly",order,10 PM,pizza,city center
"Excuse me, My order is late",complaint,7 PM,biryani,city center
"Hey, Cancel my order please",cancel,10 PM,biryani,downtown
Cancel my order please,cancel,10 PM,burger,downtown
"Hi, Food quality is bad please",complaint,8 PM,sandwich,main road
"Excuse me, This is disappointing quickly",complaint,10 PM,sandwich,main road
"Excuse me, Hi please",greeting,6 PM,pasta,near mall
"Hey, Cancel my booking right now",cancel,6 PM,pizza,city center
"Hi, Where are you located? quickly",query,6 PM,sandwich,downtown
What is on the menu?,query,8 PM,pizza,downtown
"Hi, Good evening quickly",greeting,9 PM,pizza,city center
"Hey, Where are you located? please",query,10 PM,burger,near mall
"Hello, Hey please",greeting,10 PM,biryani,downtown
I am not happy with service please,complaint,7 PM,sandwich,downtown
"Excuse me, Book a table for 2 right now",reservation,9 PM,biryani,near mall
"Hello, My order is late right now",complaint,7 PM,pizza,near mall
"Excuse me, Hey",greeting,10 PM,biryani,main road
"Excuse me, Send me a burger quickly",order,6 PM,pizza,main road
Good evening please,greeting,6 PM,biryani,main road
"Hello, My order is late right now",complaint,6 PM,sandwich,city center
Hey quickly,greeting,9 PM,pasta,city center
Send me a burger right now,order,10 PM,pizza,near mall
"Hey, Cancel my booking quickly",cancel,6 PM,pasta,city center
"Hi, What are your timings? please",query,10 PM,burger,main road
"Hello, Order food for me quickly",order,9 PM,sandwich,city center
"Excuse me, I want to order pizza",order,10 PM,pizza,main road
Send me a burger please,order,6 PM,biryani,near mall
"Hello, I want to cancel reservation",cancel,10 PM,burger,downtown
"Hey, Food quality is bad right now",complaint,10 PM,biryani,city center
"Hi, Good evening right now",greeting,10 PM,sandwich,near mall
"Excuse me, I’d like to place an order right now",order,10 PM,burger,city center
"Excuse me, This is disappointing",complaint,8 PM,pizza,main road
"Hi, I need a reservation quickly",reservation,7 PM,burger,main road
"Hello, Hey right now",greeting,10 PM,biryani,near mall
"Hey, I want to cancel reservation right now",cancel,9 PM,burger,near mall
"Hey, Reserve a table tonight right now",reservation,7 PM,pizza,city center
"Hello, Book a seat for dinner",reservation,8 PM,sandwich,main road
"Excuse me, I don’t need my order anymore please",cancel,9 PM,pizza,downtown
"Excuse me, I want chicken biryani quickly",order,8 PM,biryani,near mall
"Hi, Cancel my order please",cancel,8 PM,biryani,main road
"Hey, This is disappointing please",complaint,7 PM,burger,near mall
"Hi, I want to cancel reservation right now",cancel,6 PM,pasta,city center
"Hi, What are your timings?",query,9 PM,pasta,downtown
"Hello, Table for 4 at 8 PM quickly",reservation,8 PM,pasta,main road
"Hey, Order food for me",order,9 PM,sandwich,city center
"Hey, I don’t need my order anymore right now",cancel,8 PM,pasta,downtown
"Hi, I want to order pizza",order,8 PM,pasta,near mall
Book a table for 2,reservation,8 PM,pizza,near mall
"Hi, Hello right now",greeting,7 PM,biryani,downtown
"Excuse me, My order is late quickly",complaint,9 PM,burger,near mall
"Hi, What is on the menu? right now",query,7 PM,burger,city center
"Hi, What are your timings? quickly",query,7 PM,burger,downtown
"Hello, Book a seat for dinner please",reservation,10 PM,biryani,downtown
"Hello, This is disappointing right now",complaint,6 PM,pasta,main road
"Hello, This is disappointing quickly",complaint,8 PM,burger,main road
"Hello, Table for 4 at 8 PM quickly",reservation,10 PM,pasta,city center
"Hey, Food quality is bad quickly",complaint,6 PM,burger,main road
"Hello, Hey quickly",greeting,9 PM,biryani,main road
What is on the menu? please,query,9 PM,burger,downtown
What is on the menu?,query,10 PM,pizza,near mall
"Hello, Do you offer delivery? right now",query,10 PM,biryani,downtown
"Hey, Hey right now",greeting,9 PM,pasta,downtown
"Excuse me, Book a seat for dinner",reservation,8 PM,pasta,city center
What is on the menu? quickly,query,9 PM,pasta,downtown
"Hi, Cancel my order",cancel,7 PM,burger,main road
"Hey, Hi",greeting,8 PM,burger,near mall
"Hey, Do you offer delivery? please",query,7 PM,pasta,near mall
"Excuse me, Hi please",greeting,9 PM,biryani,near mall
"Excuse me, Send me a burger",order,10 PM,burger,main road
"Hi, Where are you located? please",query,9 PM,burger,downtown
"Hello, Book a seat for dinner quickly",reservation,10 PM,pizza,downtown
"Hello, I want to cancel reservation",cancel,8 PM,sandwich,city center
"Excuse me, I want chicken biryani",order,9 PM,sandwich,main road
"Excuse me, Hello right now",greeting,7 PM,biryani,downtown
"Hi, I am not happy with service quickly",complaint,9 PM,pizza,city center
"Hi, I want chicken biryani please",order,7 PM,biryani,main road
"Hi, Cancel my booking",cancel,6 PM,burger,main road
"Hi, Where are you located? right now",query,8 PM,sandwich,main road
"Hi, Table for 4 at 8 PM right now",reservation,10 PM,biryani,main road
"Hi, I want to cancel reservation please",cancel,7 PM,burger,downtown
"Excuse me, This is disappointing quickly",complaint,6 PM,burger,near mall
Order food for me quickly,order,7 PM,burger,main road
"Hi, What are your timings? please",query,7 PM,pizza,near mall
"Hey, I’d like to place an order quickly",order,8 PM,pizza,main road
"Hi, Book a table for 2 quickly",reservation,7 PM,burger,near mall
Book a seat for dinner quickly,reservation,6 PM,sandwich,city center
Reserve a table tonight right now,reservation,7 PM,pizza,city center
"Hello, Food quality is bad right now",complaint,7 PM,pizza,city center
"Hello, What is on the menu? quickly",query,10 PM,pasta,downtown
Book a seat for dinner,reservation,10 PM,pizza,city center
"Hi, I’d like to place an order",order,10 PM,sandwich,downtown
"Hi, Book a seat for dinner quickly",reservation,9 PM,biryani,main road
"Hey, Cancel my order right now",cancel,10 PM,biryani,city center
"Hi, Table for 4 at 8 PM right now",reservation,9 PM,biryani,city center
"Hey, I need a reservation please",reservation,7 PM,pasta,main road
"Hi, Do you offer delivery? please",query,6 PM,pizza,near mall
"Excuse me, I want chicken biryani please",order,8 PM,burger,downtown
I want chicken biryani quickly,order,8 PM,burger,main road
Order food for me please,order,6 PM,pasta,city center
"Hi, Hi quickly",greeting,8 PM,pizza,near mall
I need a reservation,reservation,9 PM,pasta,downtown
"Hi, Hello quickly",greeting,8 PM,biryani,near mall
Book a seat for dinner quickly,reservation,7 PM,pasta,main road
"Hello, Where are you located? please",query,7 PM,biryani,main road
"Hi, I want to cancel reservation quickly",cancel,10 PM,sandwich,main road
"Hello, Cancel my booking quickly",cancel,6 PM,pasta,city center
Reserve a table tonight,reservation,6 PM,sandwich,near mall
"Hello, What are your timings? please",query,6 PM,pasta,near mall
"Hi, Send me a burger please",order,9 PM,pizza,near mall
"Excuse me, This is disappointing quickly",complaint,10 PM,sandwich,main road
"Hi, Reserve a table tonight",reservation,8 PM,burger,main road
"Hello, Cancel my booking please",cancel,7 PM,biryani,city center
"Excuse me, Book a table for 2 right now",reservation,6 PM,biryani,near mall
"Hello, I want to order pizza right now",order,8 PM,pasta,city center
"Hi, This is disappointing please",complaint,6 PM,biryani,downtown
"Hey, Send me a burger quickly",order,7 PM,burger,downtown
What is on the menu?,query,10 PM,sandwich,main road
"Hello, Cancel my order quickly",cancel,8 PM,sandwich,city center
Good evening right now,greeting,9 PM,biryani,main road
"Excuse me, I’d like to place an order please",order,6 PM,pasta,main road
"Hello, I want to order pizza",order,8 PM,biryani,downtown
"Hi, What are your timings?",query,7 PM,burger,near mall
"Hey, Hello quickly",greeting,8 PM,sandwich,city center
"Hi, Food quality is bad",complaint,8 PM,pasta,near mall
"Excuse me, I don’t need my order anymore quickly",cancel,8 PM,sandwich,main road
"Hello, Hey please",greeting,10 PM,pizza,main road
"Excuse me, I want chicken biryani right now",order,9 PM,burger,main road
I want to cancel reservation right now,cancel,8 PM,pizza,city center
"Hello, I want to order pizza right now",order,10 PM,pasta,main road
Hello please,greeting,7 PM,biryani,city center
"Hey, Hey right now",greeting,9 PM,burger,near mall
"Excuse me, I want chicken biryani right now",order,7 PM,pasta,city center
"Hey, Where are you located? right now",query,10 PM,sandwich,city center
"Hello, Cancel my order right now",cancel,10 PM,sandwich,downtown
"Excuse me, I need a reservation",reservation,10 PM,biryani,main road
"Excuse me, Food quality is bad",complaint,9 PM,burger,main road
"Excuse me, Where are you located? right now",query,7 PM,sandwich,downtown
"Hey, Food quality is bad please",complaint,6 PM,pizza,main road
"Hey, I’d like to place an order quickly",order,7 PM,pizza,downtown
"Hello, I don’t need my order anymore quickly",cancel,7 PM,burger,near mall
"Excuse me, I need a reservation please",reservation,6 PM,pasta,near mall
"Hey, Table for 4 at 8 PM please",reservation,6 PM,burger,city center
"Hello, Hi",greeting,6 PM,biryani,main road
"Excuse me, I don’t need my order anymore right now",cancel,9 PM,burger,city center
"Hello, Do you offer delivery?",query,8 PM,pasta,downtown
I want chicken biryani right now,order,9 PM,biryani,near mall
"Hi, Reserve a table tonight right now",reservation,7 PM,pasta,downtown
"Hi, My order is late",complaint,8 PM,burger,near mall
"Hello, My order is late",complaint,7 PM,sandwich,main road
"Hi, Book a seat for dinner quickly",reservation,7 PM,pasta,main road
"Hey, Food quality is bad",complaint,8 PM,burger,near mall
"Hi, I need a reservation please",reservation,8 PM,pasta,city center
"Hey, This is disappointing please",complaint,10 PM,sandwich,downtown
"Hey, Table for 4 at 8 PM right now",reservation,10 PM,burger,near mall
"Hi, Food quality is bad quickly",complaint,6 PM,burger,main road
"Hi, Cancel my booking right now",cancel,8 PM,sandwich,city center
"Hello, Hey please",greeting,6 PM,pasta,main road
"Hi, I want to order pizza please",order,10 PM,burger,main road
"Hello, Reserve a table tonight",reservation,6 PM,pasta,near mall
"Excuse me, I am not happy with service quickly",complaint,9 PM,pizza,city center
"Hello, Order food for me quickly",order,9 PM,pasta,city center
"Hey, Food quality is bad",complaint,8 PM,biryani,near mall
"Hello, I’d like to place an order right now",order,6 PM,sandwich,city center
I need a reservation please,reservation,9 PM,biryani,city center
"Hi, Good evening please",greeting,8 PM,pasta,city center
"Hello, Cancel my booking",cancel,8 PM,sandwich,city center
"Hello, I want to order pizza",order,8 PM,pizza,main road
"Hey, I want chicken biryani quickly",order,8 PM,pizza,near mall
"Hello, Hey quickly",greeting,7 PM,biryani,downtown
"Hello, What is on the menu?",query,9 PM,pizza,downtown
"Hi, Good evening quickly",greeting,6 PM,sandwich,near mall
"Hi, I’d like to place an order quickly",order,9 PM,sandwich,city center
"Excuse me, What is on the menu?",query,7 PM,sandwich,main road
Book a seat for dinner,reservation,9 PM,sandwich,near mall
"Excuse me, Good evening",greeting,7 PM,sandwich,city center
"Hi, My order is late quickly",complaint,8 PM,pizza,city center
"Excuse me, My order is late quickly",complaint,7 PM,sandwich,downtown
"Hello, What is on the menu? right now",query,9 PM,biryani,main road
"Excuse me, What is on the menu? quickly",query,7 PM,burger,main road
"Hello, Cancel my order please",cancel,7 PM,burger,main road
"Hi, I want to cancel reservation",cancel,9 PM,pasta,main road
"Hello, This is disappointing",complaint,7 PM,biryani,city center
I’d like to place an order please,order,6 PM,pizza,main road
"Excuse me, Book a table for 2 quickly",reservation,8 PM,pasta,city center
"Hello, I am not happy with service",complaint,10 PM,pasta,downtown
"Excuse me, Cancel my order",cancel,6 PM,burger,near mall
"Excuse me, Book a table for 2 please",reservation,6 PM,pizza,near mall
"Hello, Do you offer delivery? quickly",query,8 PM,burger,city center
"Hi, What is on the menu? right now",query,9 PM,biryani,near mall
"Hi, Good evening",greeting,9 PM,biryani,near mall
I want to order pizza quickly,order,7 PM,pizza,downtown
"Hey, Where are you located?",query,8 PM,sandwich,city center
"Hey, Hey please",greeting,9 PM,pasta,main road
"Hello, I want to cancel reservation please",cancel,10 PM,pasta,downtown
"Hi, I don’t need my order anymore please",cancel,8 PM,pizza,near mall
"Hey, Reserve a table tonight",reservation,8 PM,pizza,city center
"Hi, What are your timings? right now",query,8 PM,pizza,near mall
"Hey, I am not happy with service quickly",complaint,9 PM,sandwich,main road
"Excuse me, Cancel my booking right now",cancel,7 PM,biryani,downtown
"Hi, I don’t need my order anymore",cancel,6 PM,burger,city center
"Hi, I am not happy with service please",complaint,7 PM,sandwich,downtown
"Hello, What is on the menu?",query,10 PM,burger,downtown
"Hi, Good evening",greeting,9 PM,burger,downtown
"Hey, Hello please",greeting,9 PM,pizza,near mall
Hello,greeting,10 PM,burger,downtown
"Hello, I don’t need my order anymore right now",cancel,10 PM,sandwich,city center
"Hey, Hi please",greeting,7 PM,burger,main road
Food quality is bad right now,complaint,9 PM,sandwich,near mall
"Hello, I don’t need my order anymore please",cancel,10 PM,burger,city center
"Hello, Book a table for 2",reservation,7 PM,biryani,downtown
"Hello, What are your timings? please",query,8 PM,sandwich,city center
"Hello, Hi please",greeting,6 PM,sandwich,city center
"Hello, What are your timings? right now",query,10 PM,burger,downtown
What are your timings? right now,query,6 PM,pasta,main road
"Hello, I want chicken biryani quickly",order,10 PM,pizza,downtown
Hi quickly,greeting,7 PM,biryani,downtown
"Hello, Order food for me",order,6 PM,sandwich,near mall
"Excuse me, Hello right now",greeting,8 PM,pasta,city center
"Excuse me, Table for 4 at 8 PM please",reservation,9 PM,biryani,city center
"Hey, I want chicken biryani please",order,10 PM,burger,downtown
Book a table for 2 quickly,reservation,7 PM,burger,city center
"Hello, What are your timings? please",query,8 PM,pasta,downtown
Food quality is bad please,complaint,7 PM,biryani,main road
"Hello, Book a seat for dinner",reservation,7 PM,pasta,near mall
Hey quickly,greeting,6 PM,burger,near mall
Do you offer delivery? please,query,7 PM,pizza,city center
"Hey, Hi",greeting,6 PM,burger,near mall
Order food for me quickly,order,8 PM,biryani,city center
"Hi, Table for 4 at 8 PM",reservation,8 PM,sandwich,city center
What is on the menu? quickly,query,6 PM,pizza,city center
"Hey, Table for 4 at 8 PM right now",reservation,6 PM,sandwich,city center
"Hey, I don’t need my order anymore please",cancel,6 PM,pizza,city center
"Hi, Send me a burger quickly",order,8 PM,sandwich,downtown
My order is late right now,complaint,6 PM,sandwich,near mall
"Excuse me, I want to order pizza",order,8 PM,pasta,city center
"Hello, Hey",greeting,7 PM,pizza,main road
"Excuse me, Cancel my booking please",cancel,6 PM,burger,main road
"Hi, I want to order pizza quickly",order,10 PM,pizza,downtown
"Hey, Do you offer delivery? right now",query,10 PM,biryani,downtown
Book a table for 2,reservation,7 PM,sandwich,main road
"Hi, Good evening",greeting,9 PM,pasta,main road
I want to cancel reservation right now,cancel,8 PM,sandwich,main road
"Excuse me, Order food for me please",order,7 PM,pasta,city center
"Excuse me, This is disappointing quickly",complaint,7 PM,pasta,near mall
"Excuse me, Send me a burger please",order,7 PM,biryani,main road
"Hey, Reserve a table tonight",reservation,8 PM,sandwich,main road
"Excuse me, Order food for me quickly",order,8 PM,sandwich,near mall
"Hello, Good evening please",greeting,10 PM,pasta,city center
"Hey, I need a reservation quickly",reservation,8 PM,burger,main road
"Hey, Cancel my order right now",cancel,6 PM,pasta,near mall
"Excuse me, Food quality is bad",complaint,8 PM,sandwich,near mall
"Hello, Food quality is bad quickly",complaint,9 PM,biryani,main road
"Hello, This is disappointing please",complaint,6 PM,burger,main road
Food quality is bad,complaint,9 PM,pasta,downtown
"Excuse me, Hello quickly",greeting,7 PM,pasta,main road
"Excuse me, Cancel my booking right now",cancel,9 PM,pasta,main road
Reserve a table tonight right now,reservation,8 PM,biryani,near mall
"Hello, Hello right now",greeting,6 PM,pizza,main road
"Hi, Cancel my booking",cancel,6 PM,sandwich,city center
Food quality is bad,complaint,8 PM,pasta,city center
"Excuse me, Hi quickly",greeting,8 PM,burger,downtown
"Excuse me, What are your timings?",query,9 PM,sandwich,downtown
Cancel my booking,cancel,6 PM,sandwich,downtown
Good evening right now,greeting,10 PM,pizza,main road
"Hello, I am not happy with service please",complaint,7 PM,burger,downtown
"Hello, Good evening please",greeting,7 PM,biryani,main road
"Hey, Book a table for 2 right now",reservation,9 PM,sandwich,near mall
"Hi, Good evening please",greeting,6 PM,biryani,city center
"Hello, I don’t need my order anymore",cancel,9 PM,pizza,near mall
"Hey, Hi quickly",greeting,8 PM,sandwich,city center
"Hello, Where are you located? quickly",query,6 PM,biryani,downtown
"Hi, I’d like to place an order right now",order,9 PM,biryani,downtown
"Excuse me, This is disappointing please",complaint,7 PM,pasta,downtown
"Excuse me, Hey right now",greeting,9 PM,burger,near mall
"Excuse me, This is disappointing",complaint,6 PM,pizza,downtown
Hey please,greeting,7 PM,sandwich,downtown
Send me a burger right now,order,10 PM,sandwich,city center
"Hey, Table for 4 at 8 PM quickly",reservation,9 PM,sandwich,city center
"Excuse me, I want to order pizza please",order,8 PM,pizza,city center
"Hey, I want chicken biryani quickly",order,8 PM,sandwich,city center
I don’t need my order anymore quickly,cancel,8 PM,pasta,near mall
"Hey, Order food for me",order,6 PM,pizza,city center
"Hello, I am not happy with service quickly",complaint,10 PM,sandwich,main road
"Hi, Food quality is bad right now",complaint,7 PM,pizza,main road
"Excuse me, This is disappointing right now",complaint,8 PM,burger,downtown
"Hi, I want to cancel reservation right now",cancel,7 PM,pizza,main road
"Excuse me, I’d like to place an order",order,7 PM,pasta,city center
I want chicken biryani right now,order,9 PM,burger,city center
"Hey, I am not happy with service please",complaint,9 PM,pasta,near mall
"Hello, Table for 4 at 8 PM please",reservation,8 PM,pizza,downtown
"Hello, This is disappointing quickly",complaint,9 PM,pasta,near mall
"Hi, Hello please",greeting,10 PM,biryani,main road
"Excuse me, Send me a burger right now",order,8 PM,pizza,near mall
"Excuse me, I want to order pizza right now",order,8 PM,sandwich,main road
"Hi, Do you offer delivery? quickly",query,9 PM,biryani,downtown
"Hi, Send me a burger please",order,9 PM,biryani,main road
"Hello, I am not happy with service right now",complaint,8 PM,pizza,near mall
"Hey, Book a seat for dinner",reservation,9 PM,biryani,main road
"Hi, Food quality is bad quickly",complaint,6 PM,biryani,near mall
"Hi, I don’t need my order anymore",cancel,10 PM,biryani,city center
Send me a burger,order,10 PM,biryani,downtown
"Hi, Hi please",greeting,7 PM,pizza,near mall
"Hey, Cancel my order please",cancel,9 PM,pizza,near mall
"Excuse me, What are your timings? quickly",query,6 PM,pasta,downtown
"Hi, Book a table for 2",reservation,10 PM,burger,city center
Order food for me,order,8 PM,pizza,downtown
Hi quickly,greeting,8 PM,burger,near mall
"Excuse me, Book a seat for dinner quickly",reservation,6 PM,pizza,near mall
"Hey, Where are you located? please",query,7 PM,pizza,city center
"Excuse me, What are your timings?",query,7 PM,pasta,main road
"Hello, Do you offer delivery?",query,8 PM,pasta,main road
Good evening please,greeting,8 PM,biryani,downtown
"Hey, I want to cancel reservation",cancel,7 PM,pizza,downtown
Where are you located? please,query,10 PM,pasta,near mall
Order food for me please,order,6 PM,pizza,near mall
"Hey, I want to order pizza right now",order,8 PM,pizza,downtown
"Hi, I need a reservation",reservation,8 PM,burger,city center
"Hey, I need a reservation please",reservation,6 PM,pasta,downtown
"Excuse me, Send me a burger right now",order,6 PM,pizza,main road
"Excuse me, Order food for me please",order,6 PM,sandwich,near mall
"Hey, Do you offer delivery? please",query,8 PM,sandwich,city center
"Excuse me, I want to cancel reservation right now",cancel,10 PM,pizza,main road
"Hello, Cancel my booking quickly",cancel,9 PM,pasta,near mall
"Hey, What are your timings?",query,7 PM,pizza,city center
"Hello, I am not happy with service",complaint,10 PM,pasta,city center
"Hey, What are your timings? please",query,10 PM,pasta,city center
"Excuse me, Reserve a table tonight right now",reservation,10 PM,biryani,near mall
"Hello, Where are you located? quickly",query,7 PM,burger,near mall
"Hi, This is disappointing right now",complaint,9 PM,biryani,downtown
"Excuse me, Book a table for 2 quickly",reservation,6 PM,biryani,near mall
What are your timings?,query,8 PM,sandwich,downtown
"Hello, Where are you located? right now",query,6 PM,sandwich,near mall
"Hello, Hello please",greeting,8 PM,pizza,main road
"Hello, Hey right now",greeting,8 PM,burger,downtown
"Hey, My order is late right now",complaint,7 PM,pasta,main road
"Hi, Book a table for 2 quickly",reservation,9 PM,burger,near mall
"Excuse me, I want to order pizza",order,6 PM,sandwich,near mall
"Excuse me, What are your timings?",query,7 PM,sandwich,near mall
"Hi, I want to order pizza",order,10 PM,pizza,near mall
Hello,greeting,7 PM,burger,main road
"Hi, I am not happy with service please",complaint,8 PM,burger,near mall
"Hello, Book a seat for dinner right now",reservation,6 PM,biryani,near mall
"Hello, Do you offer delivery? quickly",query,8 PM,sandwich,main road
"Hi, What is on the menu? right now",query,7 PM,biryani,main road
"Excuse me, I want to order pizza",order,7 PM,pasta,downtown
"Hello, Table for 4 at 8 PM",reservation,7 PM,sandwich,main road
Where are you located? right now,query,10 PM,sandwich,main road
"Hey, Order food for me right now",order,10 PM,sandwich,city center
Where are you located? right now,query,8 PM,burger,city center
"Hello, I want to cancel reservation right now",cancel,10 PM,sandwich,city center
"Hello, What is on the menu? quickly",query,8 PM,sandwich,main road
"Excuse me, I’d like to place an order right now",order,9 PM,sandwich,main road
"Excuse me, Cancel my booking please",cancel,8 PM,biryani,near mall
"Hi, Hello right now",greeting,9 PM,pasta,city center
Hi please,greeting,7 PM,pasta,near mall
"Excuse me, Reserve a table tonight right now",reservation,8 PM,biryani,city center
I’d like to place an order please,order,8 PM,sandwich,downtown
"Hello, Good evening please",greeting,8 PM,sandwich,city center
"Excuse me, Hello quickly",greeting,7 PM,sandwich,main road
"Hi, I need a reservation right now",reservation,10 PM,biryani,main road
"Excuse me, What is on the menu? quickly",query,10 PM,pizza,city center
"Hi, Send me a burger",order,8 PM,sandwich,downtown
"Excuse me, Where are you located? right now",query,6 PM,burger,main road
"Hey, What is on the menu? right now",query,10 PM,pasta,city center
"Hi, Do you offer delivery? quickly",query,8 PM,pasta,downtown
"Hi, Book a table for 2",reservation,8 PM,pasta,main road
I don’t need my order anymore right now,cancel,9 PM,pasta,main road
"Hey, Good evening quickly",greeting,7 PM,pizza,city center
"Hello, Do you offer delivery?",query,9 PM,burger,main road
"Excuse me, What are your timings? quickly",query,8 PM,pizza,near mall
"Hi, I want to cancel reservation",cancel,6 PM,pasta,main road
"Hey, Hi right now",greeting,10 PM,sandwich,city center
"Excuse me, I am not happy with service please",complaint,9 PM,pizza,near mall
"Hello, Cancel my order",cancel,9 PM,sandwich,main road
"Excuse me, Food quality is bad please",complaint,6 PM,pizza,city center
"Hi, I need a reservation right now",reservation,10 PM,burger,main road
"Hi, I want to order pizza",order,6 PM,pizza,city center
"Excuse me, Cancel my booking",cancel,7 PM,burger,main road
"Hey, Send me a burger please",order,7 PM,biryani,near mall
"Excuse me, I need a reservation",reservation,7 PM,burger,downtown
I want to cancel reservation,cancel,9 PM,biryani,near mall
Do you offer delivery?,query,7 PM,sandwich,city center
