text,intent,time,food_item,location
"Hey, I want to order pizza right now",order,6 PM,pasta,main road
"Hi, Do you offer delivery? quickly",query,8 PM,pizza,downtown
"Excuse me, Table for 4 at 8 PM right now",reservation,7 PM,pasta,city center
"Excuse me, I am not happy with service quickly",complaint,6 PM,biryani,city center
"Hi, Send me a burger please",order,7 PM,pasta,near mall
"Hi, Hello",greeting,10 PM,sandwich,near mall
"Hi, Cancel my booking",cancel,8 PM,burger,main road
"Hello, I need a reservation right now",reservation,7 PM,pasta,downtown
Food quality is bad quickly,complaint,10 PM,pasta,downtown
"Hey, Hi please",greeting,8 PM,burger,near mall
I need a reservation please,reservation,10 PM,biryani,downtown
"Excuse me, Cancel my booking right now",cancel,8 PM,sandwich,downtown
"Excuse me, I want to cancel reservation",cancel,9 PM,burger,city center
"Hey, Do you offer delivery?",query,6 PM,pizza,main road
"Hey, I’d like to place an order quickly",order,9 PM,burger,downtown
"Hello, I’d like to place an order",order,7 PM,biryani,downtown
What are your timings? quickly,query,9 PM,pizza,near mall
"Hi, Book a seat for dinner please",reservation,6 PM,biryani,city center
"Excuse me, Book a table for 2 right now",reservation,7 PM,biryani,near mall
"Excuse me, Hi right now",greeting,10 PM,biryani,downtown
"Hi, I don’t need my order anymore please",cancel,10 PM,biryani,downtown
"Hey, Book a seat for dinner please",reservation,10 PM,sandwich,main road
"Excuse me, I’d like to place an order",order,10 PM,pizza,city center
"Hey, Hey",greeting,10 PM,burger,city center
I don’t need my order anymore quickly,cancel,9 PM,pasta,main road
Food quality is bad,complaint,10 PM,pizza,near mall
"Hey, I want chicken biryani right now",order,6 PM,biryani,main road
"Hello, Hi please",greeting,7 PM,biryani,downtown
"Hey, What are your timings? right now",query,8 PM,sandwich,city center
"Hi, I am not happy with service right now",complaint,10 PM,sandwich,city center
"Hi, I want to cancel reservation",cancel,10 PM,pasta,near mall
"Excuse me, What are your timings? right now",query,6 PM,pizza,near mall
"Hi, Hello please",greeting,7 PM,sandwich,downtown
"Hello, Do you offer delivery? right now",query,8 PM,pasta,near mall
"Hello, Cancel my booking right now",cancel,6 PM,biryani,downtown
"Hi, I am not happy with service",complaint,8 PM,pizza,city center
Where are you located? quickly,query,8 PM,sandwich,near mall
"Hi, What is on the menu?",query,9 PM,burger,near mall
"Hi, What are your timings? please",query,10 PM,burger,downtown
"Hey, I want to cancel reservation please",cancel,9 PM,pizza,downtown
This is disappointing,complaint,10 PM,pasta,downtown
"Hello, I don’t need my order anymore please",cancel,6 PM,sandwich,downtown
"Hello, Book a seat for dinner quickly",reservation,10 PM,sandwich,near mall
Food quality is bad quickly,complaint,9 PM,pasta,main road
"Excuse me, Table for 4 at 8 PM",reservation,8 PM,biryani,main road
"Hey, What are your timings? quickly",query,9 PM,pizza,downtown
Hello,greeting,6 PM,burger,main road
"Excuse me, Reserve a table tonight right now",reservation,9 PM,biryani,main road
Hey,greeting,7 PM,burger,city center
I am not happy with service,complaint,9 PM,burger,downtown
Do you offer delivery? quickly,query,8 PM,burger,main road
"Hi, Food quality is bad",complaint,9 PM,pizza,downtown
"Hey, Reserve a table tonight quickly",reservation,10 PM,pizza,downtown
"Hi, Cancel my order quickly",cancel,10 PM,burger,main road
"Hello, Where are you located? right now",query,6 PM,pizza,downtown
"Excuse me, I want to order pizza quickly",order,6 PM,pasta,main road
"Excuse me, Good evening quickly",greeting,8 PM,biryani,city center
"Excuse me, I don’t need my order anymore please",cancel,8 PM,sandwich,main road
I need a reservation please,reservation,9 PM,sandwich,city center
"Hey, Order food for me right now",order,8 PM,pizza,main road
I don’t need my order anymore right now,cancel,9 PM,burger,near mall
Table for 4 at 8 PM please,reservation,6 PM,pizza,city center
"Hello, This is disappointing right now",complaint,8 PM,biryani,city center
"Hi, What are your timings? right now",query,8 PM,sandwich,near mall
"Excuse me, Cancel my booking please",cancel,8 PM,pizza,city center
"Hello, Reserve a table tonight please",reservation,6 PM,pizza,city center
"Hey, Cancel my order please",cancel,8 PM,pasta,main road
"Hey, Cancel my order",cancel,8 PM,pizza,downtown
"Hello, Table for 4 at 8 PM right now",reservation,6 PM,biryani,main road
"Hi, What is on the menu?",query,10 PM,sandwich,main road
"Hi, What are your timings?",query,10 PM,burger,downtown
"Hello, I need a reservation please",reservation,10 PM,pasta,city center
I need a reservation please,reservation,9 PM,burger,main road
"Hi, Where are you located? please",query,6 PM,sandwich,near mall
"Hi, Hello",greeting,10 PM,pizza,city center
Hello right now,greeting,8 PM,biryani,near mall
"Hello, Table for 4 at 8 PM quickly",reservation,10 PM,burger,main road
"Hello, What is on the menu? please",query,9 PM,biryani,downtown
"Hi, I’d like to place an order quickly",order,8 PM,pasta,near mall
"Hello, Hello quickly",greeting,7 PM,sandwich,city center
"Hi, My order is late right now",complaint,10 PM,sandwich,main road
"Hello, What are your timings? quickly",query,9 PM,biryani,main road
"Hi, Reserve a table tonight right now",reservation,9 PM,burger,downtown
"Hi, Do you offer delivery? please",query,10 PM,burger,downtown
"Hey, My order is late",complaint,7 PM,pizza,near mall
"Hi, Good evening",greeting,6 PM,pizza,city center
"Hello, Cancel my order right now",cancel,6 PM,pizza,near mall
"Excuse me, What is on the menu? quickly",query,7 PM,biryani,city center
"Hello, This is disappointing please",complaint,7 PM,burger,main road
"Hello, Cancel my booking",cancel,9 PM,pizza,city center
"Hey, Do you offer delivery? right now",query,10 PM,biryani,city center
"Hi, Where are you located?",query,8 PM,pizza,city center
"Hi, Cancel my order",cancel,8 PM,burger,downtown
"Hey, I am not happy with service quickly",complaint,7 PM,biryani,downtown
"Hey, What is on the menu? quickly",query,6 PM,pizza,city center
"Hey, Good evening quickly",greeting,7 PM,burger,near mall
"Hi, Cancel my booking right now",cancel,6 PM,pasta,main road
"Excuse me, This is disappointing right now",complaint,9 PM,burger,main road
"Hi, I want to cancel reservation quickly",cancel,6 PM,pizza,downtown
"Hello, What is on the menu? right now",query,10 PM,burger,main road
"Hi, Book a table for 2 right now",reservation,8 PM,biryani,downtown
"Hey, Book a seat for dinner quickly",reservation,10 PM,burger,main road
"Hi, Send me a burger",order,8 PM,pasta,main road
"Hi, What are your timings? please",query,10 PM,pizza,city center
Book a seat for dinner please,reservation,7 PM,biryani,downtown
"Hey, I want chicken biryani quickly",order,7 PM,biryani,downtown
"Excuse me, What is on the menu? quickly",query,7 PM,burger,main road
This is disappointing quickly,complaint,10 PM,biryani,city center
"Excuse me, Order food for me please",order,8 PM,pasta,downtown
"Hi, I want to order pizza please",order,9 PM,pizza,city center
"Hey, My order is late",complaint,7 PM,pasta,near mall
"Hello, Table for 4 at 8 PM please",reservation,7 PM,biryani,city center
"Hi, Send me a burger right now",order,6 PM,biryani,main road
"Hey, Where are you located? right now",query,7 PM,sandwich,main road
"Hello, I want chicken biryani right now",order,6 PM,sandwich,near mall
"Excuse me, Order food for me right now",order,10 PM,burger,downtown
"Hi, I am not happy with service",complaint,7 PM,pasta,city center
"Excuse me, Book a table for 2 right now",reservation,6 PM,burger,city center
"Hi, I want to order pizza please",order,7 PM,pizza,near mall
"Hi, Hello",greeting,9 PM,pasta,downtown
"Hi, What is on the menu?",query,6 PM,pasta,downtown
"Hello, Hi right now",greeting,6 PM,biryani,downtown
"Excuse me, Hi",greeting,8 PM,burger,city center
I want to order pizza right now,order,9 PM,biryani,main road
"Hey, Where are you located? quickly",query,10 PM,pasta,near mall
"Excuse me, Food quality is bad quickly",complaint,9 PM,pasta,near mall
"Hi, Order food for me quickly",order,6 PM,pizza,city center
"Excuse me, Book a seat for dinner please",reservation,7 PM,burger,downtown
"Excuse me, I want chicken biryani",order,6 PM,burger,downtown
"Hi, Cancel my order right now",cancel,8 PM,pasta,downtown
"Hey, What is on the menu? please",query,7 PM,sandwich,downtown
"Hello, I don’t need my order anymore",cancel,9 PM,burger,main road
"Hello, I need a reservation please",reservation,10 PM,sandwich,near mall
"Hi, Order food for me quickly",order,7 PM,pasta,city center
"Hey, Do you offer delivery?",query,6 PM,pizza,main road
"Excuse me, Table for 4 at 8 PM quickly",reservation,8 PM,pasta,main road
"Hey, Good evening",greeting,9 PM,sandwich,main road
"Hi, Food quality is bad",complaint,10 PM,burger,city center
"Hi, What are your timings?",query,6 PM,burger,city center
"Hello, Send me a burger please",order,6 PM,burger,downtown
"Hey, Reserve a table tonight right now",reservation,9 PM,burger,downtown
"Hey, I don’t need my order anymore right now",cancel,9 PM,sandwich,near mall
"Hey, My order is late",complaint,10 PM,sandwich,city center
"Hello, Good evening",greeting,6 PM,pasta,downtown
I need a reservation please,reservation,7 PM,pizza,main road
"Hello, I’d like to place an order quickly",order,9 PM,sandwich,near mall
"Excuse me, I’d like to place an order quickly",order,10 PM,burger,near mall
"Hello, This is disappointing right now",complaint,9 PM,sandwich,city center
"Hello, I don’t need my order anymore quickly",cancel,7 PM,sandwich,downtown
"Excuse me, Where are you located?",query,7 PM,sandwich,downtown
"Hey, Hey quickly",greeting,9 PM,pasta,near mall
"Excuse me, I don’t need my order anymore",cancel,10 PM,pizza,city center
"Excuse me, This is disappointing quickly",complaint,10 PM,pasta,main road
"Hi, Book a seat for dinner quickly",reservation,6 PM,biryani,near mall
"Hey, Good evening quickly",greeting,6 PM,burger,city center
"Hey, Cancel my order",cancel,6 PM,pasta,city center
I’d like to place an order please,order,6 PM,pasta,downtown
"Hey, Hey right now",greeting,9 PM,biryani,near mall
I need a reservation quickly,reservation,6 PM,sandwich,near mall
"Hey, Hey right now",greeting,8 PM,pizza,downtown
"Excuse me, Cancel my order please",cancel,10 PM,sandwich,main road
"Excuse me, This is disappointing please",complaint,7 PM,burger,downtown
"Excuse me, I want to cancel reservation quickly",cancel,8 PM,pasta,near mall
"Hello, Hey",greeting,6 PM,pizza,near mall
"Excuse me, Cancel my booking",cancel,8 PM,burger,downtown
"Hi, I don’t need my order anymore right now",cancel,7 PM,pizza,near mall
"Hey, What is on the menu? right now",query,10 PM,sandwich,main road
"Hi, Good evening",greeting,9 PM,pizza,main road
"Hey, This is disappointing please",complaint,10 PM,biryani,near mall
"Hi, Send me a burger quickly",order,6 PM,sandwich,near mall
"Hello, Do you offer delivery?",query,9 PM,biryani,downtown
"Hello, Where are you located? right now",query,10 PM,biryani,main road
"Hey, I am not happy with service quickly",complaint,8 PM,pizza,main road
"Hello, Hey please",greeting,7 PM,sandwich,downtown
"Hey, Do you offer delivery?",query,10 PM,pasta,downtown
"Hello, I want to cancel reservation please",cancel,8 PM,pizza,main road
"Hello, Table for 4 at 8 PM",reservation,10 PM,biryani,city center
"Hey, What is on the menu? please",query,6 PM,sandwich,near mall
I’d like to place an order quickly,order,9 PM,pizza,city center
"Hi, I am not happy with service",complaint,6 PM,sandwich,city center
"Hi, Hey right now",greeting,9 PM,burger,main road
"Hello, Cancel my order",cancel,9 PM,biryani,main road
"Hey, Do you offer delivery? please",query,7 PM,biryani,downtown
"Hello, I am not happy with service quickly",complaint,8 PM,biryani,near mall
Send me a burger right now,order,9 PM,sandwich,main road
Hi,greeting,10 PM,biryani,main road
"Hello, My order is late",complaint,9 PM,pizza,city center
"Hey, Good evening quickly",greeting,9 PM,burger,near mall
I want to order pizza right now,order,8 PM,biryani,city center
"Excuse me, Order food for me right now",order,10 PM,biryani,near mall
Book a seat for dinner please,reservation,10 PM,burger,main road
"Excuse me, Good evening quickly",greeting,7 PM,sandwich,city center
"Excuse me, Good evening",greeting,8 PM,sandwich,downtown
"Hi, Food quality is bad right now",complaint,9 PM,biryani,near mall
"Hello, Cancel my order right now",cancel,8 PM,burger,near mall
"Hey, Send me a burger quickly",order,6 PM,sandwich,city center
"Hi, I don’t need my order anymore please",cancel,9 PM,burger,near mall
"Hey, Cancel my order please",cancel,6 PM,biryani,main road
"Hello, Book a seat for dinner",reservation,10 PM,pizza,downtown
"Hello, My order is late right now",complaint,8 PM,pasta,main road
"Hi, I want to cancel reservation please",cancel,8 PM,burger,main road
"Hello, Send me a burger right now",order,7 PM,sandwich,city center
"Excuse me, Where are you located? please",query,9 PM,sandwich,main road
"Hey, Send me a burger quickly",order,9 PM,burger,downtown
"Excuse me, My order is late quickly",complaint,8 PM,biryani,main road
"Hey, Hello please",greeting,9 PM,sandwich,main road
"Hey, Hey quickly",greeting,10 PM,sandwich,near mall
"Hello, This is disappointing please",complaint,10 PM,pasta,downtown
"Hey, Good evening right now",greeting,6 PM,pasta,city center
"Excuse me, Order food for me",order,8 PM,burger,main road
"Excuse me, Hi",greeting,8 PM,pasta,near mall
"Hi, Hey please",greeting,9 PM,burger,main road
"Excuse me, I don’t need my order anymore please",cancel,6 PM,biryani,city center
"Hey, What is on the menu? please",query,8 PM,burger,main road
"Excuse me, This is disappointing please",complaint,8 PM,pasta,main road
I want to cancel reservation quickly,cancel,6 PM,pizza,downtown
"Hey, Good evening",greeting,8 PM,biryani,near mall
"Hi, Where are you located? quickly",query,8 PM,sandwich,city center
I don’t need my order anymore right now,cancel,10 PM,sandwich,downtown
"Hi, I’d like to place an order",order,7 PM,pasta,downtown
Food quality is bad right now,complaint,7 PM,sandwich,near mall
"Hi, Hello right now",greeting,6 PM,sandwich,city center
"Hey, I don’t need my order anymore right now",cancel,6 PM,sandwich,main road
"Hey, I want chicken biryani",order,9 PM,biryani,main road
"Hey, What are your timings? please",query,10 PM,pasta,main road
I need a reservation quickly,reservation,9 PM,pasta,near mall
I don’t need my order anymore,cancel,10 PM,sandwich,city center
"Hi, What is on the menu?",query,8 PM,biryani,city center
"Hi, Table for 4 at 8 PM right now",reservation,6 PM,biryani,downtown
"Excuse me, Book a seat for dinner quickly",reservation,10 PM,biryani,near mall
"Hi, I want to order pizza please",order,8 PM,burger,near mall
"Hi, Book a seat for dinner please",reservation,9 PM,pasta,near mall
"Hey, I need a reservation right now",reservation,6 PM,sandwich,near mall
"Excuse me, I am not happy with service quickly",complaint,9 PM,biryani,downtown
"Hi, Where are you located? quickly",query,10 PM,sandwich,near mall
"Hi, Send me a burger quickly",order,6 PM,burger,downtown
"Excuse me, Book a seat for dinner please",reservation,8 PM,biryani,downtown
Do you offer delivery? quickly,query,9 PM,sandwich,city center
I want chicken biryani quickly,order,10 PM,biryani,near mall
Cancel my booking quickly,cancel,7 PM,pasta,downtown
"Hey, I want to order pizza",order,10 PM,pasta,city center
"Hey, Food quality is bad right now",complaint,7 PM,biryani,main road
"Hey, What are your timings?",query,6 PM,sandwich,city center
"Hello, What is on the menu? please",query,8 PM,biryani,near mall
"Hi, Good evening please",greeting,7 PM,burger,downtown
"Hi, Send me a burger",order,6 PM,burger,main road
"Excuse me, Cancel my booking",cancel,10 PM,pizza,city center
"Excuse me, Hey right now",greeting,9 PM,sandwich,city center
"Hello, Good evening quickly",greeting,8 PM,sandwich,city center
"Hello, Do you offer delivery? right now",query,6 PM,pizza,downtown
"Excuse me, I want chicken biryani please",order,6 PM,sandwich,city center
"Excuse me, What are your timings?",query,9 PM,burger,main road
I want chicken biryani quickly,order,7 PM,sandwich,city center
What is on the menu? quickly,query,10 PM,pasta,city center
Send me a burger,order,7 PM,sandwich,near mall
"Hey, I want chicken biryani please",order,8 PM,sandwich,downtown
"Hello, I don’t need my order anymore",cancel,9 PM,sandwich,downtown
"Excuse me, Food quality is bad quickly",complaint,8 PM,biryani,near mall
I want to order pizza,order,10 PM,biryani,downtown
"Hello, Where are you located? quickly",query,8 PM,pizza,near mall
"Hey, Cancel my order right now",cancel,6 PM,pasta,main road
Book a table for 2 quickly,reservation,7 PM,pizza,downtown
"Hey, Send me a burger please",order,6 PM,pasta,city center
"Hey, Good evening right now",greeting,7 PM,biryani,near mall
"Excuse me, Table for 4 at 8 PM right now",reservation,9 PM,sandwich,main road
"Hey, I don’t need my order anymore please",cancel,10 PM,sandwich,city center
"Hey, What is on the menu?",query,8 PM,sandwich,downtown
I need a reservation,reservation,6 PM,pasta,city center
"Hello, I need a reservation right now",reservation,10 PM,pasta,downtown
"Excuse me, Cancel my booking right now",cancel,9 PM,sandwich,near mall
"Excuse me, I want to order pizza quickly",order,8 PM,pasta,main road
"Excuse me, Hi please",greeting,8 PM,biryani,downtown
"Hey, I want to cancel reservation right now",cancel,6 PM,pizza,main road
"Hello, Cancel my order right now",cancel,6 PM,burger,main road
Food quality is bad please,complaint,10 PM,pasta,city center
"Hi, Reserve a table tonight right now",reservation,8 PM,pasta,main road
Hello,greeting,10 PM,biryani,near mall
"Excuse me, Hello quickly",greeting,9 PM,sandwich,city center
"Excuse me, What are your timings? right now",query,6 PM,biryani,near mall
"Hey, Food quality is bad",complaint,8 PM,biryani,main road
"Excuse me, Cancel my order right now",cancel,7 PM,burger,city center
"Hi, I want to cancel reservation",cancel,8 PM,burger,main road
"Hi, Cancel my booking",cancel,8 PM,burger,main road
"Hi, I want chicken biryani",order,10 PM,burger,downtown
"Excuse me, Good evening right now",greeting,10 PM,burger,near mall
"Hi, Good evening quickly",greeting,9 PM,sandwich,downtown
"Excuse me, I want to order pizza please",order,7 PM,pizza,main road
"Hello, Book a table for 2",reservation,8 PM,sandwich,city center
"Hello, Hi please",greeting,7 PM,pasta,downtown
I need a reservation please,reservation,9 PM,pasta,downtown
"Excuse me, Send me a burger quickly",order,8 PM,pizza,city center
Book a table for 2,reservation,9 PM,sandwich,main road
"Excuse me, I need a reservation right now",reservation,6 PM,burger,city center
"Hey, Hey",greeting,6 PM,burger,near mall
Where are you located? quickly,query,8 PM,sandwich,city center
What are your timings? quickly,query,6 PM,biryani,main road
"Excuse me, What are your timings? right now",query,9 PM,pasta,near mall
"Excuse me, I’d like to place an order quickly",order,10 PM,biryani,near mall
"Hi, Good evening",greeting,6 PM,pasta,downtown
"Hello, My order is late please",complaint,8 PM,burger,city center
"Hi, Food quality is bad please",complaint,10 PM,burger,near mall
Where are you located? please,query,7 PM,sandwich,downtown
"Hey, What are your timings?",query,8 PM,burger,downtown
"Hi, Cancel my order quickly",cancel,10 PM,pasta,downtown
"Hey, My order is late please",complaint,7 PM,pizza,city center
"Hey, What is on the menu? quickly",query,7 PM,sandwich,main road
Good evening,greeting,9 PM,pasta,main road
"Hi, I want to order pizza please",order,9 PM,pizza,main road
This is disappointing,complaint,7 PM,pasta,downtown
"Excuse me, Cancel my booking",cancel,10 PM,sandwich,near mall
"Hi, Good evening quickly",greeting,10 PM,burger,main road
"Hi, I want to order pizza",order,7 PM,biryani,city center
Do you offer delivery? quickly,query,7 PM,pizza,near mall
Food quality is bad right now,complaint,9 PM,biryani,main road
I want to order pizza right now,order,10 PM,pasta,downtown
"Hi, My order is late",complaint,6 PM,biryani,city center
"Hey, Hello",greeting,10 PM,sandwich,city center
"Hello, Food quality is bad",complaint,6 PM,burger,downtown
"Hey, Reserve a table tonight right now",reservation,9 PM,pizza,near mall
"Excuse me, Table for 4 at 8 PM right now",reservation,9 PM,sandwich,city center
"Hey, Do you offer delivery?",query,6 PM,pizza,city center
Cancel my booking please,cancel,7 PM,biryani,city center
"Hey, Reserve a table tonight quickly",reservation,7 PM,burger,near mall
"Excuse me, I don’t need my order anymore right now",cancel,6 PM,burger,main road
"Hello, I am not happy with service please",complaint,8 PM,biryani,main road
"Hello, Book a seat for dinner please",reservation,9 PM,sandwich,main road
"Hey, This is disappointing quickly",complaint,8 PM,pasta,city center
"Hey, What are your timings?",query,8 PM,pasta,downtown
"Excuse me, I’d like to place an order",order,8 PM,pasta,downtown
"Hi, Where are you located? please",query,10 PM,pasta,city center
"Hello, Where are you located?",query,8 PM,sandwich,city center
"Hello, Table for 4 at 8 PM",reservation,7 PM,pasta,near mall
"Excuse me, I want chicken biryani quickly",order,8 PM,burger,near mall
"Hello, Hello quickly",greeting,6 PM,pizza,downtown
"Hey, Reserve a table tonight right now",reservation,9 PM,burger,near mall
"Hi, Order food for me quickly",order,6 PM,sandwich,city center
"Hey, Hey quickly",greeting,7 PM,sandwich,city center
Hey right now,greeting,7 PM,burger,main road
What is on the menu? right now,query,7 PM,pizza,downtown
"Hey, Cancel my order please",cancel,7 PM,biryani,downtown
I don’t need my order anymore right now,cancel,9 PM,burger,downtown
"Hello, Hey quickly",greeting,8 PM,burger,city center
"Hey, What are your timings? right now",query,8 PM,burger,downtown
"Hey, Good evening",greeting,6 PM,pasta,near mall
"Excuse me, I want chicken biryani",order,10 PM,sandwich,main road
"Hello, Table for 4 at 8 PM please",reservation,9 PM,pizza,main road
"Hello, Cancel my order right now",cancel,10 PM,burger,near mall
"Hi, I want to cancel reservation",cancel,6 PM,sandwich,downtown
"Excuse me, I’d like to place an order please",order,6 PM,burger,main road
"Excuse me, Do you offer delivery? right now",query,8 PM,burger,main road
"Excuse me, Reserve a table tonight right now",reservation,9 PM,pasta,main road
"Hey, My order is late quickly",complaint,7 PM,pizza,city center
"Excuse me, I am not happy with service please",complaint,10 PM,pasta,main road
"Hey, I want to cancel reservation right now",cancel,7 PM,pizza,main road
"Hey, Where are you located?",query,10 PM,biryani,main road
"Hello, Book a table for 2",reservation,8 PM,burger,near mall
"Hi, I’d like to place an order",order,7 PM,burger,downtown
"Hey, Do you offer delivery? please",query,6 PM,biryani,near mall
"Hi, Table for 4 at 8 PM quickly",reservation,9 PM,biryani,near mall
I’d like to place an order,order,10 PM,sandwich,main road
"Excuse me, Cancel my booking quickly",cancel,9 PM,pasta,main road
"Hi, I’d like to place an order",order,9 PM,pizza,downtown
"Hey, I’d like to place an order right now",order,8 PM,pizza,main road
"Hi, Book a seat for dinner right now",reservation,9 PM,biryani,city center
"Hi, Hey",greeting,9 PM,pasta,near mall
"Excuse me, Food quality is bad quickly",complaint,6 PM,burger,near mall
"Hi, Hello right now",greeting,9 PM,sandwich,city center
"Hello, Good evening quickly",greeting,7 PM,burger,near mall
"Hey, What is on the menu?",query,9 PM,pizza,downtown
"Excuse me, Cancel my order right now",cancel,6 PM,pasta,near mall
"Hello, I want chicken biryani right now",order,7 PM,pasta,near mall
"Hello, Cancel my order please",cancel,9 PM,sandwich,downtown
"Hi, I’d like to place an order",order,8 PM,pizza,city center
"Hey, Table for 4 at 8 PM please",reservation,9 PM,pasta,near mall
"Hey, Hi please",greeting,6 PM,sandwich,downtown
"Excuse me, I am not happy with service please",complaint,10 PM,pizza,downtown
Do you offer delivery? quickly,query,10 PM,pizza,near mall
"Excuse me, Good evening right now",greeting,8 PM,burger,city center
"Hi, Hey please",greeting,10 PM,sandwich,city center
"Hey, Do you offer delivery? please",query,8 PM,pasta,city center
"Hi, Reserve a table tonight quickly",reservation,9 PM,biryani,near mall
"Hi, My order is late right now",complaint,9 PM,burger,near mall
I want to cancel reservation,cancel,6 PM,pizza,near mall
"Hey, I need a reservation quickly",reservation,8 PM,pasta,near mall
"Hello, I want to cancel reservation please",cancel,6 PM,pizza,main road
"Hello, Food quality is bad",complaint,8 PM,sandwich,city center
"Hello, Cancel my booking quickly",cancel,7 PM,biryani,city center
"Hi, Do you offer delivery? quickly",query,6 PM,pizza,city center
"Hello, What is on the menu? please",query,9 PM,pasta,main road
"Excuse me, I want chicken biryani",order,6 PM,biryani,city center
Book a table for 2 please,reservation,6 PM,pizza,city center
"Hey, Book a table for 2 right now",reservation,8 PM,biryani,main road
"Hi, Reserve a table tonight please",reservation,7 PM,pasta,city center
"Hi, Good evening please",greeting,8 PM,pizza,near mall
"Hey, This is disappointing",complaint,7 PM,pizza,main road
"Hey, Where are you located? quickly",query,10 PM,sandwich,main road
"Hello, Hello please",greeting,7 PM,pasta,near mall
"Excuse me, Hello quickly",greeting,10 PM,pizza,city center
My order is late,complaint,7 PM,burger,city center
